,Planning Area,indicator
0,Ang Mo Kio,0.37409616775126536
1,Bedok,0.33529254608602727
2,Bishan,0.31087648734707557
3,Boon Lay,1.0
4,Bukit Batok,0.24226911826159633
5,Bukit Merah,0.4168773704171934
6,Bukit Panjang,0.2105318257956449
7,Bukit Timah,0.3185595567867036
8,Central Water Catchment,1.0
9,Changi,0.21153846153846154
10,Changi Bay,1.0
11,Choa Chu Kang,0.17829270255048676
12,Clementi,0.37412831241283123
13,Downtown Core,0.4049586776859504
14,Geylang,0.3398761691476749
15,Hougang,0.2788717402873869
16,Jurong East,0.30280938833570414
17,Jurong West,0.20790442156915034
18,Kallang,0.3841674535725527
19,Lim Chu Kang,1.0
20,Mandai,0.19863013698630136
21,Marina East,1.0
22,Marina South,1.0
23,Marine Parade,0.36710963455149503
24,Museum,0.21428571428571427
25,Newton,0.3042505592841163
26,NorthEastern Islands,1.0
27,Novena,0.3371900826446281
28,Orchard,0.39285714285714285
29,Outram,0.46153846153846156
30,Pasir Ris,0.1827838460767612
31,Paya Lebar,1.0
32,Pioneer,1.0
33,Punggol,0.1501186985057953
34,Queenstown,0.3928336620644313
35,River Valley,0.26885245901639343
36,Rochor,0.4211686879823594
37,Seletar,0.15789473684210525
38,Sembawang,0.1714121918593541
39,Sengkang,0.172594292270185
40,Serangoon,0.33227888143742884
41,Simpang,1.0
42,Singapore River,0.16753926701570682
43,Southern Islands,0.14018691588785046
44,Straits View,1.0
45,Sungei Kadut,0.5869565217391305
46,Tampines,0.24244105409153952
47,Tanglin,0.2897119341563786
48,Tengah,1.0
49,Toa Payoh,0.3891449052739375
50,Tuas,1.0
51,Western Islands,1.0
52,Western Water Catchment,0.16666666666666666
53,Woodlands,0.16667606427967296
54,Yishun,0.22687571592210767
